date,ATM_30,ATM_60,ATM_90,RR25_30,RR25_60,RR25_90,RR25_180,RV30,RV60,RV90,OVX,GPR,InfectEMVIndex,W875RX1,DPCERA3M086SBEA,CMRMTSPL,IPCONGD,IPNCONGD,IPNMAT,UNRATE,UEMPLT5,UEMP5TO14,UEMP15T26,ICSA,USGOVT,CES0600000007,AWHMAN,HOUST,HOUSTW,BUSLOANS,GS5,TB3SMFFM,TB6SMFFM,EXSZUS,VIXCLS,CO1,CO3,CO6,BRENT,MichiganConsumer,FinancialUncertaintyH1,FinancialUncertaintyH3,FinancialUncertaintyH12,MacroUncertaintyH1,MacroUncertaintyH3,MacroUncertaintyH12,RealUncertaintyH1,RealUncertaintyH3,RealUncertaintyH12,RPI,IPBUSEQ,IPFUELS,CLF16OV,UEMPMEAN,USGOOD,CES1021000001,USCONS,DMANEMP,NDMANEMP,USTPU,USWTRADE,AWOTMAN,HOUSTNE,DGORDER,AMDMUO,BUSINV,M1SL,M2REAL,BOGMBASE,NONBORRES,NONREVSL,NONREVSLAR,FEDFUNDS,TB3MS,TB6MS,GS1,GS10,T1YFFM,T5YFFM,T10YFFM,AAAFFM,EXJPUS,EXUSUK,EXCAUS,WPSFD49502,WPSID61,PPICMM,CPIAPPSL,CPIMEDSL,CUSR0000SAD,DDURRG3M086SBEA,CES0600000008,CES2000000008,DTCOLNVHFNM,DTCTHFNM,INVEST,REALLN,CUSR0000SAS,DSERRG3M086SBEA
1.01.2019,37.22826087,36.31391304,36.20434783,-3.2273913,-3.14434782,-3.58391304,-3.42434782,45.66055488,46.32901738,42.14374199,41.42,87.42410278,0.585806452,13911.2,117.039,1494210,100.2374,100.1953,98.9512,4,2303,1981,879,216250,22524,41.5,42,1232,272,2322.6315,2.54,-0.03,0.05,0.9897,19.57,2.566409091,2.314090909,2.008409091,2.05,-7.1,-0.019616335,-0.012274585,-0.00176241,0.002321902,0.002925183,0.001881259,0.005363162,0.004345523,0.001141276,60.207,-1.406,1.5072,-238,-1.4,69,3,28,32,5,57,10.4,0,29,-9420,-10605,13420,-8.6,29.6,-53800,-52600,12.97696,-0.54,0.13,0,-0.03,-0.08,-0.12,-0.21,-0.27,-0.25,-0.22,-3.2389,0.0237,-0.0136,-2.6,-1.8,-1.9,0.081,1.164,0.359,0.331,0.06,0.01,930.04,-1135.26,37.6767,25.3399,1.724,0.359
1.02.2019,27.5105,28.973,29.6665,-2.0725,-2.634,-3.3675,-3.6755,25.19231913,37.1347437,40.64407387,32.04,96.80016327,0.111785714,13967.1,117.056,1496260,100.5533,100.2689,98.4761,3.8,2246,1795,878,209000,22536,40.9,41.7,1129,246,2327.9873,2.49,-0.01,0.04,1.0014,15.23,4.190590909,4.057909091,3.522590909,4.55,2.6,-0.061636178,-0.043134586,-0.0101798,-0.005825694,-0.002942119,0.000330446,-0.009821039,-0.005356188,0.001164339,60.416,-0.9234,-2.1617,55,1.2,-45,-4,-28,-8,-3,-32,7.3,-0.1,-48,-5573,-16489,9047,8.1,2.8,6600,6500,11.28133,-0.71,0,0.02,-0.01,-0.03,-0.03,-0.03,-0.05,-0.03,-0.14,1.4795,0.0115,-0.0091,1.1,0.3,4.9,0.159,0.11,0.049,-0.14,-0.02,-0.02,-877.48,-4843.41,12.4182,29.1874,1.132,0.143
1.03.2019,25.77619048,26.74380952,27.91380952,-3.19285715,-3.95809524,-4.52714286,-4.73857143,22.72918038,24.24484025,33.25599625,28.46,82.32829285,0.380967742,13994.1,117.729,1493353,101.0626,100.9154,97.7641,3.8,2174,1831,844,188000,22573,41.2,41.7,1200,328,2336.1205,2.37,0,0.04,1.0005,14.49,2.596119048,2.136095238,1.997214286,2.18,4.6,-0.024402771,-0.017859871,-0.004555823,-0.003226894,-0.00252064,-0.000526782,-0.004620667,-0.00312984,0.000548729,31.966,-0.3061,0.4832,-86,0.5,25,-1.3,26,-4,4,4,-2.3,0,-6,9589,-6457,2648,-29.3,-4.7,28000,12200,11.87522,0.23,0.01,0.01,0,-0.06,-0.11,-0.06,-0.12,-0.11,-0.02,0.7043,0.0151,0.0162,2.2,1,0.6,-0.865,1.306,0.26,-0.317,0.15,0.21,1367.36,6.22,19.9574,26.3205,1.388,0.403
1.04.2019,22.50272727,23.47954545,23.74863636,-2.12045455,-3.23045455,-3.95727273,-4.36454546,22.59989477,22.79730155,23.81313423,26.01,79.25344849,0.574666667,13978.8,117.688,1478340,99.7413,99.2136,97.9369,3.6,1942,1881,718,191500,22610,41,41.6,1280,322,2327.0046,2.33,-0.04,-0.03,1.0084,12.95,4.600952381,4.049047619,3.368095238,5.09,-1.2,-0.000996273,-0.000319624,0.00051135,0.009487663,0.00668237,0.002481906,0.011750216,0.007278815,0.002414146,-13.318,-2.1258,-0.7347,-343,0.3,33,-1.3,37,-4,2,26,3.8,-0.2,48,-9115,-11231,11895,41.4,-10.7,-94800,-102000,10.3974,-0.62,0.01,-0.02,-0.05,-0.07,-0.04,-0.09,-0.06,-0.06,-0.1,0.4971,-0.0138,0.0007,2.4,0.7,-0.7,0.18,1.531,-0.401,-0.118,0.03,0.07,1188.84,210.46,39.7341,28.9657,1.542,0.638
1.05.2019,27.83086957,28.80086957,28.80347826,-3.67869565,-4.40826087,-4.80565217,-4.82652174,29.73373268,26.63298116,25.41540758,32.46,106.4719009,0.577741935,13982.3,118.015,1485481,100.2936,99.6042,97.7318,3.7,2131,1564,754,214750,22569,41,41.6,1308,331,2330.8176,2.19,-0.04,-0.04,1.0107,16.72,-1.32552795,-2.201925466,-2.494244306,0.09,2.8,0.026377439,0.018817203,0.005072824,-0.001485474,0.000759283,0.003171639,-0.004535623,-0.001819679,0.001666829,10.61,-0.449,-0.049,162,1.5,21,-1.4,27,-8,3,7,-3.6,0,-43,-6450,-19011,5313,8.2,34.1,-42200,-47600,10.79995,0.15,-0.03,-0.03,-0.04,-0.08,-0.13,-0.05,-0.11,-0.1,0.01,-1.67,-0.0174,0.0082,-1,-1.4,-5.3,-0.144,1.81,-0.471,0.037,0.09,0,2206.97,3106.36,22.3205,36.7932,1.244,0.549
1.06.2019,37.021,36.3145,35.534,-4.695,-5.009,-5.0925,-5.1625,37.00213069,33.58077277,30.46209607,41.57,106.5884552,0.419333333,13997.8,118.378,1493211,100.8992,100.0528,97.0089,3.6,1903,1835,812,235800,22577,41.2,41.7,1235,315,2334.9099,1.83,-0.21,-0.27,0.988,15.84,-7.265043478,-6.821217391,-6.131065217,-7.1,-1.8,-0.016489986,-0.011477552,-0.0025341,0.004166836,0.004200672,0.004669528,0.003845457,0.00462931,0.003579945,23.476,0.0672,-1.0911,317,-2.3,27,-3,25,1,4,1,-8.2,0.1,22,2074,-18085,3361,41.2,50.9,30300,24900,13.45505,1.04,-0.01,-0.18,-0.24,-0.34,-0.33,-0.33,-0.36,-0.32,-0.24,-1.9029,-0.018,-0.0171,-1.7,-2.3,0.1,1.149,0.921,-0.03,0.337,0.04,-0.02,-406.28,-593.58,30.4508,33.1352,1.258,0.403
1.07.2019,28.75173913,29.00086957,29.12695652,-2.25826087,-3.70391305,-4.14304348,-5.59695652,31.99938924,34.28837839,32.94180463,32.8,93.52125549,0.386129032,14002.8,118.798,1494399,100.6116,99.9744,97.0335,3.7,2102,1779,960,224250,22542,41,41.5,1232,328,2343.532,1.83,-0.3,-0.37,0.988,13.31,1.176782609,1.982521739,1.891934783,-0.3,0.2,-0.030465378,-0.021919849,-0.005419663,0.004396672,0.004307915,0.004116993,0.008394015,0.008433218,0.005635686,6.706,-1.395,-0.2615,460,-2,13,-6.5,14,5,1,15,9.6,-0.1,-12,5686,-8177,4755,32.4,19,-14500,-22700,11.79494,-0.68,0.02,-0.07,-0.08,-0.04,-0.01,-0.06,-0.01,-0.03,-0.15,0.2179,-0.0214,-0.0184,0.7,0.2,1.2,-0.113,1.888,0.268,-0.547,0.02,-0.02,1497.36,2203.46,22.9183,18.4583,1.462,0.527
1.08.2019,29.63318182,29.89227273,30.22181818,-3.865,-3.79181818,-4.10636364,-4.94545455,39.07643377,35.68118233,35.96557346,34.57,103.4044189,0.603548387,14081.3,119.075,1500336,100.9573,100.121,97.9566,3.7,2276,1700,901,228000,22614,41.1,41.5,1370,303,2362.1081,1.49,-0.17,-0.24,0.9787,18.98,-4.712964427,-5.111976285,-5.009525692,-4.88,-8.6,0.001158726,0.000277012,4.46E-05,0.013503311,0.012525672,0.008173391,0.015756402,0.013999982,0.007634894,82.508,0.9013,0.2583,230,2.2,-2,-6.9,5,-11,10,-4,-2.1,0,73,-693,-9114,1235,2.1,25.1,11100,8200,12.89551,0.42,-0.27,-0.15,-0.15,-0.19,-0.43,0.09,-0.06,-0.15,-0.03,-2.0978,-0.0301,0.0168,-0.7,-0.7,-0.9,-0.363,3.115,0.059,-0.15,0.08,0.11,1359.72,1030.96,41.9404,13.7643,1.546,0.417
1.09.2019,34.13285714,33.93952381,34.0452381,0.43952381,-0.71904761,-2.1547619,-4.62857143,48.59002208,44.39650623,40.66817814,37.76,90.36798859,0.626666667,14115,119.194,1496673,100.2008,99.71,98.3463,3.5,1853,1759,888,218500,22645,41.1,41.4,1297,312,2369.0289,1.57,-0.16,-0.21,0.9906,15.56,2.785324675,2.027835498,1.504329004,3.79,3.4,-0.014353639,-0.008921589,-0.000791109,0.01681434,0.015751047,0.009001867,0.022054131,0.019190633,0.009524429,35.655,-1.5787,-2.7807,314,0.6,16,-2.7,21,-4,2,20,1.4,0,-54,-2597,-9953,-1949,41.1,22.9,-68700,-82000,12.46182,-0.19,-0.09,-0.06,-0.04,0.03,0.07,0.1,0.14,0.14,0.12,1.3514,0.0209,-0.0032,0,-0.3,2.6,0.253,0.957,-0.061,-0.03,0.07,0.1,81.34,-291.94,75.2922,20.232,1.572,0.302
1.10.2019,32.94565217,33.95652174,33.78391304,-0.14086956,-1.05173913,-2.22086957,-4.24217391,38.9440243,45.30388044,43.55164613,37.72,97.83673096,0.984193548,14140.6,119.315,1483091,99.9544,100.3556,97.5611,3.6,1946,1751,955,225500,22675,41.1,41.4,1328,351,2368.6644,1.53,-0.18,-0.21,0.993,15.47,-2.654968944,-1.836728778,-1.570455487,-3.12,2.3,0.001803759,0.002861116,0.002557981,0.027130349,0.025039006,0.013308791,0.029968394,0.025905705,0.012221852,29.566,-0.6127,-1.0247,355,-0.1,-45,-1.2,5,-52,1,27,9.7,-0.1,3,1026,-6902,-1068,35.3,37.5,50100,42400,14.64566,0.83,-0.21,-0.24,-0.22,-0.19,0.01,0.03,0.18,0.23,0.2,0.5968,0.0288,-0.0052,1.8,0.5,-3.5,-1.162,4.877,-0.084,-0.091,0.07,0.03,708.76,185.12,1.3916,31.484,1.704,0.378
1.11.2019,29.31904762,29.86619048,29.96428571,-2.5347619,-3.57238096,-4.09619047,-4.84142857,24.73444535,31.85912203,39.43501161,33.14,73.0783844,0.583333333,14218.2,119.755,1489085,101.2811,100.3636,96.7738,3.6,2063,1742,910,229600,22714,40.9,41.4,1343,343,2367.0356,1.64,-0.01,0,0.9929,12.52,3.077349896,2.393395445,2.136645963,3.5,1.3,0.031741722,0.024574175,0.008183049,0.036574738,0.033504333,0.017179159,0.047776682,0.039970666,0.016906873,72.821,1.4139,-0.9671,121,-2.2,21,-10.6,-11,40,3,3,-1.4,0,-14,-10196,-15116,-4327,20,28.2,62800,48100,11.40306,-1.29,-0.28,-0.11,-0.07,-0.04,0.1,0.24,0.4,0.38,0.33,0.7211,0.0227,0.0048,0.9,0.4,1.7,-0.048,1.947,-0.153,-0.359,0.04,0.07,-42.19,-693.34,27.0212,45.3894,1.859,0.365
1.12.2019,25.0835,25.46622727,26.15204545,-5.09959091,-5.24595455,-5.2395,-5.37731818,21.01980278,23.04710275,28.87486888,27.93,74.27989197,0.765806452,14175.3,120.083,1485467,100.4454,99.755,97.2082,3.6,2102,1777,830,238000,22723,40.7,41.4,1538,400,2355.7493,1.68,-0.01,-0.01,0.9826,13.76,2.464285714,2.426666667,2.101428571,4.01,2.5,0.056704909,0.042303054,0.012680603,0.048472703,0.046056872,0.023001242,0.051671716,0.045421894,0.019696185,-64.167,-0.2941,-2.1134,151,0.5,-45,-12,-17,-9,-5,39,3.1,-0.1,32,2545,-11015,-3000,51.8,8.2,110900,103100,13.02109,0.61,0,0,-0.01,-0.02,0.05,-0.02,0.04,0.05,-0.05,0.2431,0.0225,-0.0068,1.7,0.2,0.7,-0.769,2.954,-0.294,-0.495,0.09,0.15,1887.17,1784.34,2.5837,62.8232,1.649,0.552
1.01.2020,28.48813043,29.12626087,28.46643478,-3.60965217,-4.22256522,-4.18117391,-4.61034783,26.97371044,24.22406964,24.44050213,33.01,138.4209442,1.118709677,14312.2,120.183,1478709,100.0985,98.8133,97.6002,3.5,2016,1758,863,207750,22783,40.8,41.3,1569,412,2352.3759,1.56,-0.03,-0.03,0.9698,13.94,-1.501082251,-1.269805195,-1.398766234,-3.57,0.5,0.093054259,0.067464056,0.019007559,0.073181802,0.069686519,0.034450574,0.080005467,0.068454034,0.027939495,157.774,-2.5302,-0.8329,-356,1.2,35,-5.9,52,-8,-3,43,0.6,-0.1,71,10227,1821,-8292,-13.5,22.3,16100,16900,11.18048,-0.73,0,-0.02,-0.02,-0.02,-0.1,-0.02,-0.12,-0.1,-0.07,0.1657,-0.0033,-0.008,-0.3,-0.4,3.2,-0.26,0.626,-0.058,0.098,0.04,0.09,-539.15,-2691.83,0.5854,50.6969,1.858,0.68
1.02.2020,35.7587,33.0206,31.49035,-5.0847,-4.86025,-4.526,-4.2046,37.4259714,32.65569111,29.31043823,38.83,75.95555878,8.854827586,14415.4,120.514,1488825,101.1524,99.4048,97.6192,3.5,2099,1811,778,190600,22871,40.8,41.5,1571,372,2346.5869,1.32,-0.06,-0.11,0.9762,19.63,-8.195227273,-6.867409091,-5.203090909,-7.99,1.2,0.125923361,0.088545297,0.023685811,0.111373592,0.104785152,0.049334395,0.125337746,0.104769579,0.03970221,99.156,-0.2473,-2.4246,110,-1.3,21,-2,28,-2,-3,-36,-6,0.1,-86,5937,4590,-10356,9.3,17.1,11900,11700,9.87403,-0.52,0.03,0,-0.05,-0.12,-0.26,-0.15,-0.27,-0.29,-0.19,0.7628,-0.0123,0.0197,-2.9,-1.8,-3.5,0.589,0.888,0.372,0.267,0.12,0.21,-1792.47,-5046.31,39.1036,29.7443,1.936,0.487
1.03.2020,90.24808696,75.701,64.75069565,-20.264913,-20.31043478,-18.301,-12.7023913,111.3160925,83.91761974,70.42535391,126.24,81.54003143,50.21548387,14058.3,112.784,1428936,96.3369,97.9165,97.7569,4.4,3422,1824,728,2316750,22841,40.7,41.2,1270,316,2562.6624,0.59,-0.34,-0.34,0.9593,57.74,-21.74840909,-18.5535,-15.70327273,-23.65,-11.9,0.134830917,0.090451588,0.02295532,0.197765913,0.175464839,0.073111205,0.235987653,0.185860316,0.063459507,-284.869,-6.1065,-8.4905,-1823,-3.6,-144,-8.8,-69,-39,-26,-84,-14.6,-0.1,-41,-31369,-14423,-4446,259,231.3,428600,331900,4.38823,-2.12,-0.93,-1.23,-1.18,-1.08,-0.63,-0.13,0.22,0.32,1.19,-2.3622,-0.0584,0.0674,-6.6,-3.2,-1.4,-1.395,1.785,0.25,-0.243,0.04,-0.02,-276.49,-3958.16,119.738,40.6294,0.678,0.24
1.04.2020,99.25613636,81.14086364,66.05586364,-24.99563632,-22.17768182,-16.89118182,-10.29859091,256.2853371,198.6677041,163.7101985,163.65,69.33940125,37.821,13240.1,99.234,1256135,85.2092,93.557,89.4582,14.7,14232,7066,680,4663250,21927,38.5,38.4,938,179,2921.1786,0.39,0.09,0.12,0.9701,41.45,-6.877272727,-5.332142857,-4.748679654,-13.63,-17.3,-0.099025236,-0.06198624,-0.010557907,0.038527763,0.02109696,0.006757005,0.054787313,0.027958586,0.008874707,2096.647,-19.906,-13.424,-6327,-9.9,-2375,-56.4,-1012,-898,-408,-3092,-391.3,-1.1,-32,-40989,-10697,-26605,517.9,445,961800,770300,-6.98297,-4.37,-0.6,-0.15,-0.12,-0.15,-0.21,0.43,0.38,0.37,-0.01,0.0713,0.0051,0.0088,-8.4,-6.6,-6.1,-4.458,1.967,-0.548,-0.486,-0.07,-0.43,1004.02,-4505.03,-1.0649,46.9206,-1.474,-0.371
1.05.2020,68.65110526,58.60873684,54.15031579,-16.81089474,-15.05468421,-13.74168421,-9.58294736,246.6555908,255.8000511,218.5666701,87.7,68.50721741,28.72548387,13517.4,107.723,1357116,88.9109,95.0694,89.4203,13.2,3886,14806,1009,2173400,21396,39.5,39.4,1055,330,3033.9933,0.34,0.08,0.1,0.9692,30.9,5.56008658,2.411428571,0.895238095,11,0.5,-0.126229132,-0.085154496,-0.019530967,0.03275025,0.014688293,0.001825879,0.090647292,0.049838588,0.012297407,-775.521,5.8102,1.9249,1759,3.5,689,-24.6,482,134,98,422,15.8,0.3,20,20254,1485,-47129,11453.1,331.3,304500,276700,6.85941,5.32,0,-0.01,-0.02,-0.02,0.01,-0.02,-0.05,0.01,0.07,-0.5386,-0.0118,-0.0076,5.8,-0.2,1.4,-3.002,2.377,-0.211,0.055,0.16,0.2,6310.76,3141.37,34.2193,15.6161,-1.376,-0.09
1.06.2020,49.82086364,48.0625,45.99127273,-12.8895909,-12.75672728,-12.07063637,-9.41468182,68.55777985,182.7305248,212.7632983,63.79,71.2278595,25.84233333,13785.7,113.947,1465484,96.6271,96.9366,90.8944,11,2915,11522,1942,1490250,21407,39.9,39.9,1269,293,2921.5162,0.34,0.08,0.1,0.9513,31.12,8.360822511,7.174350649,5.983441558,10.89,5.8,-0.079446837,-0.056052382,-0.014187678,-0.043735488,-0.044122042,-0.021710139,-0.052922546,-0.049031036,-0.022586839,-105.934,8.1416,4.2527,1833,3.7,477,-14.4,161,259,72,962,36,0.2,45,19390,-8746,-21299,330.6,84.1,-147600,-159900,20.24128,5.13,0.03,0.03,0.03,0.02,0.06,-0.01,-0.03,0.03,-0.09,0.3782,0.0221,-0.042,0.9,2,7.6,1.71,1.725,-0.551,-0.181,-0.03,0.3,7850.93,3870.26,145.7814,-10.3595,0.621,0.624
1.07.2020,38.72226087,38.99734783,39.01047826,-10.85343479,-11.54543478,-11.44291304,-11.158,33.93352363,52.2594945,141.1751982,46.31,66.47328186,20.35,13907.8,115.993,1504500,101.0609,98.0785,91.8255,10.2,3142,5145,6512,1383500,21509,40.3,40.7,1510,316,2854.7588,0.28,0.04,0.05,0.9327,26.84,2.44944664,2.616581028,2.573577075,2.97,-5.6,-0.035214586,-0.025914663,-0.007177647,-0.072209751,-0.062466769,-0.026882785,-0.098397214,-0.070691844,-0.025478299,133.809,4.2172,3.335,202,2.7,55,-11.6,25,34,7,260,-17.6,0.4,21,19267,-3025,2159,200.3,22.2,-301500,-320300,16.77466,-1.37,0.01,-0.03,-0.04,-0.03,-0.11,-0.04,-0.07,-0.12,-0.31,-0.8964,0.0178,-0.0055,1.4,2.8,7.2,0.79,1.6,1.102,0.468,0.11,0.06,5919.63,4297.44,132.1749,7.5213,2.303,0.625
1.08.2020,30.27438095,32.14566667,34.04561905,-7.16495238,-8.18933333,-8.73571429,-9.45871428,21.74713011,28.06120199,42.67100952,34.9,65.46604919,20.40032258,14041.6,116.634,1509447,101.8092,99.2497,93.0501,8.4,2348,3105,6580,922400,22011,40.6,41.1,1376,343,2812.7389,0.27,0.01,0.03,0.9099,22.89,1.797826087,2.221449275,2.562028986,1.5,1.6,-0.011030192,-0.009378831,-0.003642999,-0.079665714,-0.064611806,-0.028255263,-0.089887528,-0.060121479,-0.019093005,-599.851,2.0835,1.4329,620,2.8,48,-7.7,30,-8,34,412,15.9,0.1,-48,3045,-2162,10961,132.9,-0.2,107100,91000,3.37155,-5.12,0.01,-0.03,-0.02,-0.02,0.03,-0.02,-0.01,0.03,0.11,-0.6689,0.0442,-0.0268,0.5,2.1,6.7,0.319,0.33,1.813,0.87,0.04,0.08,4066.71,2390.39,72.3334,5.7175,2.174,0.548
1.09.2020,36.42522727,38.12454545,38.60918182,-10.36172727,-11.55604545,-10.83440909,-9.48236364,41.15669378,33.02638267,33.60518311,43.69,80.37738037,18.584,14171.7,118.291,1518387,100.3465,97.8688,94.3373,7.9,2549,2735,4958,851750,21919,40.6,41.2,1461,353,2756.9097,0.27,0.02,0.03,0.9149,27.65,-3.146363636,-3.018484848,-2.86469697,-3.83,6.3,0.00490945,0.001778365,-0.001171902,-0.077243458,-0.058727489,-0.023055451,-0.081850919,-0.051368015,-0.012737026,86.133,-0.2091,-0.4059,-498,1.7,87,-0.7,31,39,18,138,27.2,0.1,38,4507,1537,14335,264.8,66.9,72900,57800,13.18169,3.72,-0.01,0.01,0,0,0.03,0,0,0.03,0.06,-0.4239,-0.0196,1.00E-04,1,1.3,0.9,0.127,-0.179,1.466,0.15,-0.03,-0.29,3604.18,4010.57,83.1173,-12.8557,0.834,0.611
1.10.2020,41.28345455,41.47540909,40.62563636,-12.5325,-12.34731818,-11.09204545,-10.95618181,40.63308216,41.36369985,36.19020461,48.83,76.08316803,23.11258065,14366.3,118.601,1526985,100.69,98.2071,96.2812,6.9,2490,2342,2671,795400,21767,40.7,41.3,1530,385,2694.7607,0.34,0.01,0.02,0.9124,29.44,-0.349545455,-0.583181818,-0.814545455,-0.72,1.4,0.011967755,0.008117687,0.001617621,-0.056715912,-0.047984312,-0.021580897,-0.066419573,-0.048682053,-0.015842987,-29.103,0.5257,-0.5991,720,0.5,75,-3.6,54,6,18,201,11.4,0.1,-38,4142,2470,16260,203.8,54.6,36800,28200,9.69936,-1.34,0,-0.01,-0.01,0,0.11,0,0.07,0.11,0.04,-0.3795,0.0033,-0.0012,1.5,1.7,0.8,-0.13,-1.491,0.36,0.023,0.08,0.23,635.25,-335.73,69.1895,-16.9631,0.66,0.501
1.11.2020,40.21142857,40.15285714,39.60571429,-11.56142857,-9.57619048,-10.45333333,-9.67380952,45.5033277,43.23907781,42.95922275,49.78,70.06746674,18.20333333,14324.8,118.057,1523747,100.6807,97.6871,96.5933,6.7,2483,2440,1904,751250,21681,40.7,41.3,1541,411,2637.2869,0.39,0,0.01,0.911,25,2.455909091,2.084047619,1.730670996,2.5,-4.9,0.043955473,0.030124333,0.006881904,-0.029723656,-0.024903035,-0.012150645,-0.037625027,-0.026303974,-0.008503384,-170.109,0.7992,-1.0576,-257,1.3,39,-2.9,7,28,6,124,13.8,0.1,56,-1265,1971,9484,261.4,75.2,175900,165500,10.30735,0.22,0,-0.01,-0.01,-0.01,0.08,-0.01,0.05,0.08,-0.05,-0.8034,0.0218,-0.0145,0.6,1.8,0.6,0.227,-0.129,-0.004,-0.059,0.15,0.21,2503.42,2698.04,111.0387,-24.86,1.376,0.201
1.12.2020,34.24347826,35.00956522,35.1726087,-5.46695652,-6.27608696,-6.97086956,-8.06782609,27.85347673,37.83200362,38.89992884,39.82,64.06729126,17.7816129,14314.6,117.633,1529685,102.2358,99.6873,96.4376,6.7,2915,2344,1578,836750,21671,40.8,41.4,1651,446,2593.5164,0.39,0,0,0.8884,22.37,6.238181818,5.829588745,5.077510823,7.3,3.8,-0.061600764,-0.042989599,-0.010700709,-0.009324731,-0.010164105,-0.004760809,-0.007789633,-0.007170577,-0.002558622,37.589,0.8345,1.1073,70,0,81,1.9,38,25,15,20,11.8,0,-9,2990,319,8681,207.7,25.3,113500,108200,11.16053,0.31,0,0,-0.01,-0.02,0.06,-0.02,0,0.06,-0.04,-0.6109,0.0236,-0.0264,2.9,3.5,9.8,0.443,-0.09,-0.017,0.201,0.09,0.12,-429.67,366.69,64.1149,-22.8306,1.547,0.593
1.01.2021,32.6265,32.458,32.337,-5.2645,-6.7715,-7.423,-8.476,28.86148737,28.38530086,35.15937355,37.75,78.42060852,21.30129032,14204.9,120.091,1567734,103.2543,100.3326,97.3022,6.3,2250,2484,1321,827800,21781,41.1,41.6,1602,383,2566.7592,0.45,-0.01,0,0.8865,24.91,5.103318182,4.789863636,4.162727273,4.78,-1.7,-0.026052196,-0.019082412,-0.005460442,0.004218167,0.0012296,-0.000591164,0.011069077,0.005159289,0.001129322,1624.702,2.6537,1.4983,-732,2.6,-2,-6.9,8,-7,4,111,13,0,71,5824,2379,11426,272.4,77.1,41500,24900,13.43112,0.83,0,-0.01,0,0,0.15,0,0.06,0.15,0.19,-0.0069,0.0207,-0.0084,3.5,3.2,2.4,1.394,1.353,-0.399,0.095,0.1,0.09,4903.62,5369.4,77.7052,12.2723,0.612,0.842
1.02.2021,31.341,30.8915,30.5835,-3.1405,-4.418,-5.315,-6.6515,21.59422338,25.49183626,26.64574259,37.06,74.35603333,17.89,14187.1,118.979,1523644,100.9525,99.4355,89.8807,6.2,2211,2254,1370,755000,21793,40.4,41.4,1430,426,2586.2924,0.54,-0.04,-0.02,0.8979,23.14,6.96,6.139,5.411,7.51,-2.2,-0.008131809,-0.006589442,-0.002547406,0.030225957,0.020635148,0.007487292,0.045956852,0.027608846,0.009047686,-1424.297,-2.196,-5.2531,162,1.6,-55,-8.9,-72,18,8,90,8.9,0.1,-98,195,9611,13852,260.4,64.5,198800,191300,16.48946,1.12,-0.01,-0.04,-0.03,-0.03,0.18,-0.02,0.1,0.19,0.26,1.5891,0.0226,-0.0029,3.5,5.3,4.2,-0.661,1.161,0.245,-0.055,0.02,0.08,51.66,-2783.87,80.6062,14.6703,1.03,0.698
1.03.2021,35.66652174,35.08652174,34.25043478,-4.37217391,-3.49434783,-3.76826087,-4.79565218,39.78504061,32.48667208,31.29157209,42.42,79.94161987,19.35709677,14270.1,124.459,1579651,102.185,100.2173,95.4215,6.1,2178,1950,1336,669250,21876,41.1,41.6,1711,381,2588.3325,0.82,-0.04,-0.02,0.9298,21.84,3.420673913,3.562934783,3.533565217,3.13,8.1,-0.05235433,-0.036634229,-0.00864015,-0.001336495,0.003619336,0.003063413,-0.009699495,-0.001182817,0.001965184,3575.171,2.3336,8.9788,276,2.1,165,13.6,104,30,18,121,14.4,-0.1,56,3913,9156,402,274.1,54.2,392200,370800,15.43457,-0.42,-0.01,-0.01,-0.01,0.01,0.35,0.02,0.29,0.36,0.35,3.3217,-0.0004,-0.0127,2.3,6.9,6.2,0.102,0.581,0.716,0.303,0.12,0.09,3294.44,7339.17,109.7813,-11.5795,2.127,1.006
1.04.2021,32.76454545,32.74409091,32.50272727,-5.53590909,-4.95590909,-4.61136364,-4.65409091,44.80766515,43.85723426,37.92750011,38.32,90.57736206,15.70866667,14358.2,124.536,1571789,101.6736,100.3085,98.792,6.1,2377,2011,1137,589000,21929,41,41.6,1505,387,2554.8093,0.86,-0.05,-0.03,0.9218,17.42,-0.373602484,-0.300434783,0.048530021,-0.6,3.4,-0.036923576,-0.026497433,-0.006188278,-0.036765523,-0.031318824,-0.01219812,-0.074010918,-0.055028938,-0.019236971,-2907.078,-1.2301,2.611,445,-1.3,-29,1.5,11,-33,-9,-29,15.6,0.1,-7,-4826,5853,-1602,286.2,47,203100,157200,16.67882,0.43,0,-0.01,-0.01,-0.02,0.03,-0.02,0.04,0.02,-0.14,0.3454,-0.0018,-0.0075,1.5,4.4,6.7,1.184,0.327,3.208,1.436,0.18,0.34,4080.62,7825.06,99.3068,-6.7226,2.569,1.159
