date,AvgSKEW,RP30,RP60,RP90,ATM30,ATM60,ATM90,ATM180,ATM270,ATM360,brent,CO1,CO3,CO6,RR_30,RR_60,RR_90,RR_180,CO31,CO63,CO61,RV30,RV60,RV90,FinancialUncertaintyH1,MacroUncertaintyH1,MacroUncertaintyH3,RealUncertaintyH1,RealUncertaintyH3,GPR,InfectEMVIndex,IPCONGD,IPNMAT,UNRATE,UEMPLT5,UEMP5TO14,UEMP15T26,ICSA,AWHMAN,NONREVSLAR,GS10,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,VIXCLS,MichiganConsumer,FinancialUncertaintyH3,FinancialUncertaintyH12,MacroUncertaintyH12,RealUncertaintyH12,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPL,IPNCONGD,IPBUSEQ,IPFUELS,CLF16OV,UEMPMEAN,USGOOD,CES1021000001,USCONS,DMANEMP,NDMANEMP,USTPU,USWTRADE,USGOVT,CES0600000007,AWOTMAN,HOUST,HOUSTNE,HOUSTW,DGORDER,AMDMUO,BUSINV,M1SL,M2REAL,BOGMBASE,NONBORRES,BUSLOANS,REALLN,NONREVSL,FEDFUNDS,TB3MS,TB6MS,GS1,GS5,EXSZUS,EXJPUS,EXUSUK,EXCAUS,WPSFD49502,WPSID61,PPICMM,CPIAPPSL,CPIMEDSL,CUSR0000SAD,DDURRG3M086SBEA,DTCOLNVHFNM,DTCTHFNM,INVEST,CUSR0000SAS,DSERRG3M086SBEA,CES0600000008,CES2000000008
1.12.2008,115.75,-7.356337815,-4.18015023,-2.943443019,93.52315789,83.15,76.86263158,63.06315789,55.05631579,46.83526316,47.31736842,43.88052632,48.37684211,52.88578947,1.756315789,-1.646842105,-2.648421053,-2.277368421,4.496315789,4.508947368,9.005263158,86.16682008,78.96984977,73.91918856,1.455615677,1.073121523,1.183969121,0.88599913,0.957519943,92.36643219,0.596451613,99.3912,92.5834,7.3,3255,3498,1936,564000,39.8,-0.88,2.42,-0.13,0.1,0.33,1.36,2.26,4.89,52.36,4.8,-0.030776822,-0.007813189,-0.009178125,0.0006228,-89.54,-129.1,-0.277,-6435.0,-1.4156,0.8667,0.4138,16,1.0,-301,-4.5,-112,-128,-56,-180,-40.4,-4,-0.3,-0.3,-92,4,0,-7703,-10499,-32342,87.1,114.6,224100,257000,-16.8381,-7.5244,-1.20741,-0.23,-0.16,-0.47,-0.58,-0.77,-0.0506,-5.6906,-0.0473,0.0166,-4.6,-7.4,-16.2,-0.748,1.289,-0.341,-0.392,-5203.48,-11382.67,-46.6646,0.276,-0.062,0.17,0.33
1.01.2009,119.7875,15.68803203,17.79462326,16.80935649,83.08571429,75.71809524,69.72761905,59.23666667,50.70714286,46.09095238,49.38952381,45.69380952,50.07809524,53.86047619,-5.992380952,-5.45952381,-5.122380952,-4.680952381,4.384285714,3.782380952,8.166666667,98.77374632,93.5127185,86.53697554,1.469785453,1.061625512,1.165695889,0.89447351,0.951505342,85.36947632,1.673548387,97.0261,93.1437,7.8,3524,3662,2065,572000,39.7,0.02,2.52,-0.02,0.15,0.29,1.45,2.37,4.9,44.68,1.1,0.006527387,-0.00042996,-0.011826239,-0.007593883,-128.699,-199.6,0.432,-24976.0,-0.0661,-5.0164,0.5846,-445,-0.1,-433,-8.5,-134,-233,-56,-136,-30.6,23,-0.1,0.0,-70,-27,6,-22764,-21117,-17719,-18.9,28.7,45600,129400,-13.985,-17.5443,0.02169,-0.01,0.1,0.04,-0.05,0.08,-0.0137,-1.1545,-0.0392,-0.0089,1.7,0.1,-2.0,-0.152,1.076,-0.044,-0.076,-9126.42,-24175.39,43.2973,0.632,-0.073,0.07,0.08
1.02.2009,119.9715789,6.19947149,25.26709618,28.56356046,72.8135,63.9225,59.717,51.9805,46.644,42.1905,46.559,43.85,46.69,49.465,-5.838,-5.02,-4.9615,-3.881,2.84,2.775,5.615,79.01297149,89.18959618,88.28056046,1.446751354,1.009296321,1.12025657,0.849300075,0.918599536,67.45267487,0.873571429,97.1131,94.4346,8.3,3450,3936,2456,644000,39.6,-0.11,2.87,0.08,0.23,0.4,1.65,2.65,5.05,45.57,-4.9,-0.015831031,-0.004350512,-0.019958867,-0.012325272,-155.924,-175.8,-0.391,7157.0,-0.449,-0.4576,1.664,328,0.4,-314,-13.0,-121,-133,-48,-147,-48.1,-3,0.1,-0.2,92,27,-28,-2251,-23469,-20987,-15.6,-0.3,-150300,-178200,-12.1219,24.0491,-0.15705,0.07,0.17,0.15,0.18,0.27,0.0372,2.7953,-0.004,0.0204,-0.2,-1.5,-19.8,1.921,1.029,0.196,0.005,-3419.48,-15796.0,17.3171,0.668,-0.114,0.04,-0.07
1.03.2009,114.7290909,-4.098889893,9.202090415,20.84859885,71.86772727,65.59954545,62.37318182,52.90454545,46.50227273,41.775,49.78,47.28636364,49.77045455,52.21772727,-6.191818182,-5.188181818,-5.384545455,-3.721363636,2.484090909,2.447272727,4.931363636,67.76883738,74.80163587,83.22178067,1.396753477,0.955334494,1.075565716,0.806349266,0.888031821,72.6446228,0.916774194,96.5756,92.6582,8.7,3465,4122,2625,659250,39.3,-0.98,2.82,0.03,0.24,0.46,1.64,2.64,5.32,44.8,1.0,-0.033846825,-0.008393435,-0.016967798,-0.009514528,-37.288,-73.3,-0.394,-23940.0,-0.6598,-1.7428,-0.891,-405,0.7,-348,-17.4,-155,-122,-50,-145,-42.4,-16,-0.4,-0.1,-77,3,-34,-2511,-22067,-20957,11.7,35.0,85600,47500,-21.4269,0.3389,-1.34133,-0.04,-0.09,-0.03,0.02,-0.05,-0.0084,4.9392,-0.0252,0.0193,-2.2,-2.6,-2.4,0.48,0.852,0.043,-0.305,-3028.38,-9026.8,19.2548,0.291,-0.119,0.13,0.21
1.04.2009,112.6257143,-6.63892526,4.51766237,13.42559323,63.619,58.0395,55.506,48.3415,44.685,40.376,53.34,51.18,53.411,56.2965,-5.646,-5.661,-5.9125,-4.8695,2.231,2.8855,5.1165,56.98007474,62.55716237,68.93159323,1.353798223,0.914563772,1.034817801,0.763138454,0.847278043,85.68849945,0.901333333,96.2819,93.5091,9.0,3338,4138,2634,627750,39.5,-2.2,2.93,0.01,0.2,0.4,1.71,2.78,5.24,38.06,7.8,-0.031040458,-0.008628602,-0.020209844,-0.017406012,22.667,-15.3,-0.141,-8848.0,-0.4473,-1.6528,0.0088,376,0.8,-333,-16.2,-137,-149,-29,-181,-46.4,117,0.1,0.1,-27,-16,33,1144,-15215,-18437,32.7,-2.3,105900,157500,-19.6516,14.9584,-3.00836,-0.03,-0.05,-0.07,-0.09,0.04,-0.0074,1.065,0.0542,-0.0403,1.3,0.1,-6.4,-0.186,1.372,0.14,0.044,-2091.89,-7933.32,-7.7044,0.042,-0.019,0.07,0.16
1.05.2009,117.002,-16.81144954,-0.795565486,11.75013268,53.36894737,48.92052632,43.85736842,40.25368421,37.31684211,34.67736842,60.01315789,57.99684211,59.78052632,62.10473684,-5.856842105,-5.665263158,-6.181052632,-6.310526316,1.783684211,2.324210526,4.107894737,36.55749783,48.12496083,55.6075011,1.245586878,0.882695551,1.002631268,0.737635103,0.822599781,89.68086243,0.587419355,95.0356,94.7033,9.4,3246,4458,3049,612000,39.3,1.57,3.29,0.0,0.12,0.32,1.95,3.11,5.36,31.98,3.6,-0.075513174,-0.018512404,-0.017006305,-0.012044344,164.941,-11.8,0.086,486.0,-0.5912,-2.2645,-1.2388,238,0.7,-239,-16.8,-54,-139,-29,-49,-24.7,-60,-0.1,0.1,62,6,20,1788,-10686,-15330,5.9,21.4,21900,53900,-22.185,37.8305,7.94357,0.03,0.02,-0.05,-0.05,0.27,-0.0405,-2.2755,0.0706,-0.0714,0.6,1.0,7.2,-0.144,1.282,0.246,-0.145,-1501.1,-6210.47,29.213,-0.16,0.101,0.01,0.04
1.06.2009,119.5763636,-9.760479055,-6.822119888,2.147757454,44.38954545,42.86818182,42.06136364,38.82545455,35.94318182,33.77409091,70.58181818,69.09909091,70.49636364,72.505,-5.168181818,-5.335,-6.07,-6.146363636,1.397272727,2.008636364,3.405909091,34.6290664,36.04606193,44.20912109,1.177844941,0.866315034,0.985903997,0.723778709,0.809030542,81.10958862,0.839,94.6027,95.2093,9.5,3114,4052,3488,598250,39.6,-10.9,3.72,-0.03,0.1,0.3,2.5,3.51,5.4,29.14,2.1,-0.049062801,-0.013613664,-0.011185714,-0.006868122,-223.586,-83.1,0.026,-1784.0,-0.3253,-0.6422,0.7152,-31,1.5,-233,-8.1,-90,-107,-29,-58,-23.5,-41,0.1,0.0,45,24,-8,-2222,-12983,-17881,41.3,-28.0,-91400,-6400,-33.1101,-17.9006,-14.92212,0.03,0.0,0.01,0.01,0.58,-0.0267,-0.03,0.0951,-0.0264,4.2,2.3,5.2,0.238,0.818,0.333,-0.058,-3420.95,-11621.05,49.1328,-0.012,0.175,0.04,0.1
1.07.2009,114.9963636,-7.977205507,-9.703631824,-9.182744249,48.17782609,47.3773913,46.47652174,42.94869565,39.27521739,35.48913043,66.57652174,65.64652174,66.8226087,69.00434783,-7.066086957,-7.293913043,-6.658695652,-6.06173913,1.176086957,2.18173913,3.357826087,40.20062058,37.67375948,37.29377749,1.151192928,0.848528031,0.966801176,0.731729647,0.810472619,83.43962097,0.332258065,95.8736,95.7332,9.5,3137,3505,2923,566500,39.9,1.7,3.56,0.02,0.11,0.32,2.3,3.4,5.25,26.16,-4.8,-0.020350874,-0.007068054,-0.011281529,-0.00273203,-47.616,-49.4,0.316,16635.0,-0.7603,0.9533,-1.0132,-214,1.2,-144,-7.4,-78,-36,-22,-101,-25.3,-55,0.3,0.2,9,-19,2,6658,-9267,-15922,3.7,3.3,-10100,58600,-40.8807,-21.5276,2.30931,-0.05,0.0,-0.04,-0.03,-0.25,-0.0029,-2.2475,0.0009,-0.0035,-2.6,-0.6,4.8,-0.292,0.824,-0.059,-0.525,-1471.49,-3802.01,16.6628,0.163,0.262,0.09,0.06
1.08.2009,118.3442857,-5.92124036,-6.23025453,-8.0312433,46.089,46.5465,46.651,43.3805,39.8605,36.087,74.345,73.173,74.411,76.38,-5.7305,-5.923,-6.9115,-7.131,1.238,1.969,3.207,40.16775964,40.31624547,38.6197567,1.09561607,0.802701455,0.927461708,0.698918464,0.7888261,73.37187958,1.019677419,96.7177,96.9302,9.6,2940,3927,2791,559200,40.0,-0.41,3.59,0.01,0.1,0.3,2.41,3.43,5.1,25.34,-0.3,-0.039918727,-0.010958065,-0.015817058,-0.006451421,-22.578,-24.7,0.856,654.0,0.8371,0.8334,-0.5465,-195,0.2,-127,-8.9,-77,-33,-9,-37,-17.3,16,0.1,0.0,-8,8,1,3798,-6856,-17006,-2.5,-13.2,37200,67700,-31.8901,-24.8503,-0.55665,0.0,-0.01,-0.01,-0.02,0.11,-0.0097,0.5301,0.0154,-0.0357,3.3,2.7,15.8,0.252,1.09,-0.795,-0.419,-577.2,-3949.48,26.7637,0.599,0.338,0.06,-0.01
1.09.2009,118.9,-3.928884679,-5.606556942,-5.696773458,45.75409091,46.65181818,46.53818182,44.28454545,40.75090909,37.90818182,69.55818182,68.17318182,69.72409091,71.63272727,-4.952727273,-5.331818182,-5.645909091,-6.435,1.550909091,1.908636364,3.459545455,41.82520623,41.04526124,40.84140836,1.072029204,0.771795603,0.897758062,0.68116293,0.775640559,92.83998871,0.767333333,97.5209,97.177,9.8,2841,3775,2908,547500,40.0,-1.04,3.4,-0.03,0.06,0.25,2.22,3.25,4.98,24.93,7.8,-0.018489722,-0.006215136,-0.014850095,-0.005080191,32.769,-6.5,-0.886,1354.0,-0.108,0.5008,2.3092,-480,1.3,-108,-5.3,-68,-29,-6,-54,-16.8,-86,-0.2,0.1,-1,-3,-10,552,-11551,-6121,4.9,-7.9,90400,118500,-25.8402,-48.3816,-1.40985,-0.01,-0.05,-0.05,-0.06,-0.2,-0.0292,-3.6223,-0.0209,-0.0056,-0.5,0.5,13.8,0.543,1.268,0.258,0.275,-2546.39,-8758.08,4.3057,0.776,0.317,-0.02,-0.2
1.10.2009,119.0613636,-10.14864099,-7.522454422,-6.880653331,44.79,45.92470588,45.94235294,44.39117647,41.45705882,39.07352941,73.98176471,72.49470588,74.01529412,75.98764706,-2.787058824,-3.207058824,-3.891176471,-5.439411765,1.520588235,1.972352941,3.492941176,34.64135901,38.40225146,39.06169961,1.061084664,0.747635212,0.875134695,0.667204845,0.765929881,90.57640076,0.472258065,97.7505,97.9147,10.0,3223,3552,3006,525400,40.2,-4.16,3.39,-0.05,0.04,0.25,2.21,3.27,5.03,24.25,-2.9,-0.009088666,-0.003732594,-0.011681315,-0.002612555,-38.981,-0.9,0.108,5635.0,0.7647,0.3404,-1.633,-43,0.9,-128,-2.9,-71,-40,-13,-106,-20.9,73,0.0,0.2,-51,-12,-6,3056,-8108,8303,12.8,0.7,135100,175900,-29.8257,-24.628,-5.64051,-0.03,-0.05,-0.05,-0.03,-0.04,-0.0178,-0.9077,-0.0111,-0.0269,1.2,0.7,1.1,-0.279,0.932,1.297,0.346,-440.2,-23348.06,-9.134,0.726,0.534,0.09,0.26
1.11.2009,119.604,-8.976368407,-7.926200037,-3.38982762,39.22666667,40.62666667,39.43,39.39666667,37.14333333,38.65333333,78.36333333,77.13333333,78.71,80.76333333,-2.84,-2.036666667,-2.24,-6.556666667,1.576666667,2.053333333,3.63,30.25029826,32.70046663,36.04017238,1.032879616,0.734868744,0.860004673,0.66550095,0.762172952,82.10176086,0.358333333,97.1524,100.1251,9.9,2816,3457,2847,494000,40.5,2.75,3.4,-0.07,0.03,0.19,2.11,3.28,5.07,23.79,-3.2,-0.01989083,-0.005033311,-0.008730606,-0.001161967,34.95,33.8,-0.152,8637.0,-1.3047,-0.1133,-1.0666,94,1.4,-46,3.1,-20,-24,-5,-18,-10.1,9,0.5,0.1,54,13,5,-678,-12621,10411,5.3,0.6,88300,132600,-17.7002,64.1363,3.71776,0.0,-0.02,-0.01,-0.06,-0.1,-0.0082,-1.0997,0.0387,0.0046,3.0,1.9,5.1,-0.493,1.159,0.475,0.062,-3033.04,-10835.43,15.0179,0.69,0.59,0.13,0.4
1.12.2009,122.3663636,-6.114127907,-8.300983077,-11.040947,38.07666667,39.51666667,43.53,41.40666667,37.4,39.24666667,80.19,78.56666667,80.20666667,82.35666667,-3.306666667,-3.986666667,-8.076666667,-2.62,1.64,2.15,3.79,31.96253876,31.21568359,32.489053,1.024179894,0.726694807,0.851775779,0.661453507,0.758058673,92.94691467,0.937741935,97.0714,98.8356,9.9,2879,3457,2712,485500,40.6,8.99,3.59,-0.07,0.05,0.25,2.22,3.47,5.14,21.24,5.1,-0.007012689,-0.002623104,-0.004428008,-0.000649884,60.422,31.8,0.581,3895.0,0.0962,1.4239,-1.7087,-767,0.8,-77,-0.4,-42,-21,-13,-110,-13.8,-51,-0.1,0.1,-7,-4,-8,101,-15075,-2466,9.8,-4.2,1600,46200,-24.9259,-28.8019,12.19163,0.0,0.0,0.02,0.06,0.11,0.017,0.6835,-0.0373,-0.0056,0.8,0.9,7.9,0.434,0.661,0.318,-0.233,-2068.06,-7317.07,27.5368,0.274,0.267,0.03,0.02
1.01.2010,121.7089474,-8.98645341,-5.594503007,-5.091492577,32.86,33.99466667,34.11266667,33.85733333,33.21,31.87066667,77.048,76.31266667,77.628,79.53,-3.093333333,-3.528,-4.230666667,-4.308666667,1.315333333,1.902,3.217333333,23.87354659,28.40016366,29.02117409,1.020622967,0.72808099,0.851689723,0.6686075,0.763061313,91.58102417,0.471935484,97.6993,99.4282,9.8,2921,3390,2574,479800,40.8,-3.63,3.73,-0.05,0.04,0.24,2.37,3.62,5.15,20.64,1.9,-0.002542218,-0.000743834,-0.001118729,0.001729038,64.679,-14.8,-0.175,-3325.0,0.5253,1.196,-2.5426,373,0.6,-85,5.0,-74,-10,-5,67,-19.3,9,0.3,0.1,33,6,18,20496,2822,2260,-18.1,-20.0,-31200,-300,-26.5724,-18.5334,-4.96314,-0.01,0.01,-0.02,-0.02,0.14,0.0044,1.1502,-0.0068,-0.0099,2.5,3.0,1.1,-0.531,1.631,0.457,-0.133,8985.0,59.6,-1.7562,-0.38,0.304,0.04,0.13
1.02.2010,119.5073684,-0.4525255,-3.44017177,-2.3730506,32.95875,32.668125,32.744375,31.84125,31.5375,30.444375,76.910625,75.34125,76.375625,77.928125,-3.5775,-4.280625,-4.889375,-4.674375,1.034375,1.5525,2.586875,32.5062245,29.22795323,30.3713244,1.02616565,0.721247671,0.847423603,0.660720336,0.759220865,80.72535706,0.095714286,96.8898,100.0818,9.8,2807,3390,2793,485750,40.5,-4.61,3.69,-0.02,0.05,0.22,2.23,3.56,5.22,22.54,-0.8,0.003474234,0.000566661,-0.001076422,0.000318933,5.434,-3.7,0.357,7657.0,-0.6291,-0.3937,2.0993,210,-0.5,-80,5.7,-80,-4,-3,-15,-10.9,-15,-0.3,-0.2,-10,1,13,-566,4746,8797,25.1,26.4,120200,144100,-15.1045,-37.0471,-6.28282,0.02,0.05,0.03,0.0,-0.12,0.0377,-0.9616,-0.054,0.0134,-1.6,-0.4,-17.1,0.274,1.566,-0.123,-0.367,-3897.21,-8876.16,3.5816,-0.315,0.316,0.07,0.15
1.03.2010,120.7495652,-0.793593284,0.35325836,-1.744516651,30.00565217,30.62826087,30.93347826,30.77304348,30.31130435,29.06913043,80.76652174,79.70913043,80.56652174,81.65869565,-2.708695652,-3.246086957,-3.612173913,-4.260869565,0.857391304,1.092173913,1.949565217,29.21205889,30.98151923,29.18896161,1.044368844,0.711802055,0.836006997,0.670379442,0.764620815,74.11694336,0.32516129,97.2329,100.4782,9.9,2769,3294,2542,470250,41.0,8.09,3.73,-0.01,0.06,0.24,2.27,3.57,5.11,17.77,0.0,0.012906164,0.003124699,-0.00600336,0.00048804,48.962,42.1,0.458,14801.0,0.0852,1.5757,2.6594,260,1.8,45,6.4,37,11,-11,60,-0.5,42,0.4,0.2,32,-5,-6,1698,2453,5974,12.1,-2.6,-35600,-21500,-13.5115,-16.4841,10.9783,0.03,0.04,0.04,0.05,0.07,-0.0056,0.5766,-0.056,-0.0343,1.6,0.9,12.3,0.041,1.404,-0.128,-0.148,40404.04,-9439.23,-10.185,0.509,0.337,0.05,0.08
1.04.2010,126.4042857,-0.66839598,-0.55130956,1.03796424,28.199,28.638,28.9165,29.955,29.4835,28.6985,87.1095,85.604,86.96,88.241,-2.0315,-2.997,-3.129,-3.5985,1.356,1.281,2.637,27.53060402,28.08669044,29.95446424,1.062079386,0.68850078,0.812871001,0.662999993,0.75582672,88.76158142,0.242333333,96.4264,101.0276,9.9,2725,3086,2330,469000,41.1,-1.84,3.85,-0.04,0.04,0.25,2.38,3.65,5.09,17.42,-1.4,0.012667179,0.003063965,-0.009621059,-0.005310662,105.735,109.6,0.197,10572.0,-1.1568,1.0074,0.6654,668,1.7,57,4.7,16,30,6,-14,-0.3,51,0.5,0.1,51,17,-25,800,694,5003,-12.9,13.2,-65200,-55600,-2.5699,9.4236,-2.51047,0.04,0.01,0.02,0.05,0.15,0.0024,2.7366,0.0274,-0.0177,-0.1,1.4,11.0,-0.579,0.877,-0.286,-0.395,-1618.71,-5271.38,-2.5379,0.702,0.377,0.06,-0.02
1.05.2010,125.0165,-0.863984278,-3.739142548,-3.53514365,38.36277778,36.65777778,35.26,34.88277778,33.565,32.12944444,77.925,76.63,78.41166667,80.30277778,-4.317222222,-4.742777778,-4.895555556,-4.966666667,1.781666667,1.891111111,3.672777778,37.4987935,32.91863523,31.72485635,1.106510803,0.680627939,0.802535846,0.667184804,0.753268029,88.95870972,0.215806452,98.236,101.4205,9.6,2773,3127,2260,459400,41.4,2.15,3.42,-0.04,0.02,0.17,1.98,3.22,4.76,31.93,1.4,0.030705018,0.007342357,-0.004460046,-0.003634677,102.561,101.9,0.24,-3734.0,1.4017,1.5347,-0.3966,-531,0.7,13,9.8,-33,27,9,19,-3.5,427,0.0,0.3,-104,-10,5,6984,5579,4205,11.1,27.2,-2100,-1500,-10.737,-13.8461,2.93062,0.0,0.0,-0.02,-0.08,-0.4,0.0605,-1.4797,-0.0663,0.0351,-0.1,0.7,-17.7,0.002,0.505,-0.191,-0.28,-2510.49,-5595.23,-11.8377,0.59,0.33,0.06,-0.01
1.06.2010,121.0286364,0.797289834,2.02958727,-1.123225106,36.02136364,35.62,35.69636364,35.25409091,34.06681818,32.91454545,76.75272727,75.64227273,76.82136364,78.49090909,-5.474545455,-6.115454545,-6.113181818,-5.925454545,1.179090909,1.669545455,2.848636364,36.81865347,37.64958727,34.57313853,1.110742852,0.647202614,0.77692903,0.632431321,0.73025928,96.4536972,0.271666667,97.9887,102.2181,9.4,2683,3159,2284,460500,41.0,1.67,3.2,-0.06,0.01,0.14,1.82,3.02,4.7,29.92,2.4,0.003090639,0.000664633,-0.008929399,-0.004480664,16.142,15.3,0.235,11456.0,-0.0707,0.4975,-0.5454,-475,0.5,21,5.2,-4,19,1,23,4.3,-256,-0.2,-0.2,-47,-10,-4,-4265,531,9847,21.5,10.4,-9900,-6400,-6.6191,-17.2772,2.28079,-0.02,-0.04,-0.03,-0.05,-0.18,-0.004,-1.1671,0.0099,-0.0027,-0.9,-1.1,-11.4,-0.025,1.094,-0.217,-0.347,-2042.29,-3982.34,-8.8439,0.516,0.259,0.05,0.1
1.07.2010,118.5814286,-3.510671131,-0.637670194,0.92125556,33.04090909,33.84363636,34.2,34.17318182,33.61863636,32.78227273,75.93090909,75.21227273,76.00818182,77.61636364,-2.769545455,-3.321818182,-3.690909091,-3.355,0.795909091,1.608181818,2.404090909,29.53023796,33.20596617,35.12125556,1.106411109,0.628447405,0.761322864,0.611256497,0.715548538,79.38137817,0.284516129,98.6369,102.0167,9.4,2806,2972,2208,459200,41.1,4.76,3.01,-0.02,0.02,0.11,1.58,2.83,4.54,25.57,-8.2,-0.003212954,-0.001127167,-0.008651837,-0.005857182,34.877,33.6,0.266,10172.0,-0.2573,0.8019,1.6298,75,-0.6,14,6.6,-8,11,5,25,1.6,-171,0.0,0.0,10,14,-2,1839,-492,12191,-7.6,-2.8,-8100,-7400,-1.1333,-21.3026,6.50823,0.0,0.04,0.01,-0.03,-0.24,-0.0725,-3.3054,0.0536,0.0046,0.3,-0.4,-0.6,-0.301,-0.065,0.096,-0.451,-1444.82,-1925.8,57.7594,0.593,0.165,0.08,0.1
1.08.2010,119.0686364,1.176196754,-1.34028708,-0.156251832,31.97619048,32.79952381,33.38238095,33.77380952,33.35571429,32.46047619,78.14,77.30571429,78.30238095,79.95,-2.301428571,-3.04952381,-3.586666667,-3.47047619,0.996666667,1.647619048,2.644285714,33.15238723,31.45923673,33.22612912,1.104094187,0.614097278,0.748092772,0.599405864,0.707142033,80.99386597,0.199354839,98.3884,102.7329,9.5,2671,3534,2162,475000,41.2,4.19,2.7,-0.03,0.0,0.07,1.28,2.51,4.3,24.75,1.1,-0.002185044,-0.001424042,-0.007833673,-0.003276182,52.812,22.3,0.235,614.0,0.5271,0.0527,-0.5281,395,-0.2,16,7.9,16,7,-15,3,1.7,-149,0.3,0.1,53,-1,29,4239,4273,11832,24.7,17.3,-600,3100,-1.1484,-5.9063,5.75568,0.01,0.0,-0.01,-0.03,-0.29,-0.0142,-2.1278,0.0357,-0.0018,1.3,0.9,15.5,-0.362,0.936,0.154,0.077,-2432.29,-2553.52,36.2244,0.534,0.189,0.09,0.09
1.09.2010,120.9109524,-3.839033083,-1.256725433,-2.496815417,30.88272727,31.72772727,32.66727273,33.46227273,33.175,32.50272727,78.78590909,78.06863636,78.76136364,80.26909091,-1.720909091,-2.346363636,-2.844545455,-3.301363636,0.692727273,1.507727273,2.200454545,27.04369419,30.47100184,30.17045731,1.082668401,0.607224836,0.740964018,0.59310739,0.702015304,71.16854858,0.19,98.0077,102.8615,9.5,2819,3308,2291,453500,41.5,4.62,2.65,-0.04,0.0,0.07,1.22,2.46,4.34,22.52,-0.7,-0.015217506,-0.004062243,-0.004481854,-0.0017825,9.468,12.4,0.092,-188.0,-0.5067,0.3694,-0.2149,-111,-0.3,-6,7.7,-23,15,-5,46,5.9,-173,0.1,0.1,-5,-5,-3,10187,12465,15232,17.5,7.7,-32500,-29700,-1.898,-13.9121,6.36635,0.0,-0.01,0.0,0.0,-0.06,-0.0386,-1.0156,-0.007,-0.0074,0.8,0.7,6.3,0.25,2.229,0.044,-0.105,-3444.23,-6701.83,25.7691,0.359,0.16,0.07,0.03
1.10.2010,117.9961905,-9.561553978,-7.005827514,-3.898458299,31.56761905,31.70428571,31.83857143,31.92,31.24619048,30.41380952,84.31761905,83.49619048,84.18238095,85.28095238,-1.907142857,-2.355238095,-2.323809524,-3.05047619,0.686190476,1.098571429,1.784761905,22.00606507,24.6984582,27.94011313,1.002040244,0.604608623,0.738757728,0.585094783,0.698353279,65.99193573,0.359354839,98.0026,101.853,9.4,2655,3345,2387,446800,41.2,10.64,2.54,-0.06,-0.01,0.04,0.99,2.35,4.49,20.37,-0.5,-0.057901344,-0.015230279,-0.000735923,0.000329418,8.758,16.7,0.248,6252.0,-0.1554,0.285,-0.5848,-340,0.6,14,8.0,7,4,-5,52,7.6,50,-0.1,0.0,-51,13,-32,-8866,3854,16487,14.2,8.7,500,-4200,-1.0245,-15.0661,14.72206,0.0,-0.02,-0.01,-0.03,-0.23,-0.0316,-2.6286,0.0276,-0.0151,2.3,2.2,18.2,-0.293,0.638,-0.082,-0.156,-1698.0,-21793.46,24.9493,0.353,0.271,0.11,0.14
1.11.2010,119.76,-11.29749573,-10.2884705,-7.942476745,30.11363636,30.77136364,30.87545455,30.90272727,30.52090909,29.88590909,86.49181818,86.03363636,86.43181818,87.15772727,-1.773636364,-2.235,-2.711818182,-3.466818182,0.398181818,0.725909091,1.124090909,18.81614063,20.48289314,22.9329778,0.955919929,0.601146448,0.734370968,0.587205953,0.701630453,94.70516968,0.362,97.4611,101.9123,9.8,2912,3321,2370,426250,41.3,3.93,2.76,-0.05,-0.01,0.06,1.16,2.57,4.68,20.1,3.9,-0.034508749,-0.010045942,-0.002366283,0.002758494,15.432,18.4,0.249,3474.0,-0.298,-0.031,0.2655,490,-0.1,26,6.4,-2,16,7,-11,5.5,-10,0.0,0.0,2,-10,-4,4136,7880,10993,48.0,-0.7,11400,800,2.1993,-2.987,5.48295,0.0,0.01,0.0,0.02,0.17,0.0161,0.7895,0.0094,-0.005,1.2,1.6,6.0,0.11,0.609,-0.196,-0.033,-1729.64,-2710.63,15.4252,0.526,0.345,0.12,0.22
1.12.2010,122.4031818,-10.04975635,-10.3044937,-9.718343649,28.27761905,28.89285714,29.46904762,29.6952381,29.33047619,28.78952381,91.93190476,91.68619048,91.77857143,92.07333333,-1.304285714,-1.869047619,-2.264285714,-2.978571429,0.092380952,0.294761905,0.387142857,18.2278627,18.58836344,19.75070397,0.937538423,0.622777022,0.745442114,0.611254442,0.717257625,97.20389557,0.121935484,98.556,102.9518,9.3,2693,3169,2120,420250,41.3,0.36,3.29,-0.04,0.01,0.11,1.75,3.11,4.84,17.57,2.9,-0.014756796,-0.005085331,0.001532288,0.003797121,79.691,77.3,0.13,2171.0,1.541,0.7153,1.4305,-475,0.8,-31,-1.7,-39,12,-2,22,6.7,-21,0.1,0.0,-6,-15,43,-3750,1182,16069,8.3,-1.5,43900,40600,5.3126,-10.3149,127.50003,-0.01,0.0,0.01,0.04,0.58,-0.0158,0.8196,-0.0366,-0.0048,2.2,2.0,2.8,0.196,0.979,0.029,-0.287,35402.78,185549.75,-27.7219,0.658,0.2,0.05,0.05
